"scale","x_metric","x_label","y_metric","y_label","n","pearson_r","r_squared","f_statistic","f_p_value","slope","intercept","spearman_r","spearman_p_value"
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_mean","Std PCA mean distance",1741,0.632915491682803,0.400582019612085,1162.14754127763,1.6445278934994e-195,0.0074455976606295,2.85937212618654,0.618688982940868,1.90474834679268e-184
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_convex","Std PCA convex hull",1741,0.565650207326027,0.319960157047977,818.203108057724,8.26562948805889e-148,3.98635256536384,-244.555935539418,0.584807730794665,2.89469992486033e-160
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_v","Std PCA 3D hull volume",1741,0.560226877121189,0.313854153848959,795.446589970604,1.98113255651097e-144,84.0459028185975,-15782.9033017432,0.598022754226012,2.36115426002766e-169
"10m","spec_alpha","Raw PCA alpha hull","spec_spca_hull3d_a","Std PCA 3D hull area",1741,0.570910264193467,0.325938529761454,840.883403489268,3.79196007168493e-151,10.5768481193219,-307.628155231066,0.58330939030518,2.92295866110357e-159
"10m","spec_rao_q","Raw PCA Rao's Q","spec_pca_mean","Raw PCA mean distance",1744,0.906046921396989,0.820921023772962,7985.55170205729,0,0.0157006974895253,5.10206690027268,0.98968572996768,0
"10m","spec_rao_q","Raw PCA Rao's Q","spec_convex","Raw PCA convex hull",1744,0.736984604540656,0.543146307329947,2071.03692615242,1.20108742281414e-298,4.12445687496232,408.852230315635,0.693099159114536,6.28030586338635e-250
"10m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_v","Raw PCA 3D hull volume",1744,0.793956408042619,0.630366777871937,2970.77984692747,0,44.6224390721637,622.722699228037,0.740557863987768,4.79213290523402e-303
"10m","spec_rao_q","Raw PCA Rao's Q","spec_hull3d_a","Raw PCA 3D hull area",1744,0.769940278358355,0.592808032238542,2536.08045815997,0,10.301780141079,989.920054791857,0.727842536142158,1.03194615097746e-287
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_alpha","Std PCA alpha hull",1744,0.56420282427071,0.318324826915046,813.469333167138,3.76157134970992e-147,0.926016645866876,399.94808635265,0.578601683996988,2.09559297595013e-156
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_rao","Std PCA Rao's Q",1744,0.855448086641839,0.731791428939184,4752.94530734069,0,1.40770817256374,-81.2599666451065,0.579446924305468,5.80315365597439e-157
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_mean","Std PCA mean distance",1744,0.789088305509053,0.622660353891148,2874.53053943205,0,0.016017428864265,4.28672172806349,0.558391383225844,1.52344987819406e-143
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_convex","Std PCA convex hull",1744,0.567764029799217,0.322355993533846,828.671301417327,2.13333355949413e-149,6.89982019545771,785.461167410851,0.466034303236824,9.72112925070365e-95
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_hull3d_v","Std PCA 3D hull volume",1744,0.571350229451781,0.326441084694603,844.262256227673,1.09414999296656e-151,147.801299989843,5561.49252129577,0.46571143391307,1.35942835028262e-94
"10m","spec_rao_q","Raw PCA Rao's Q","spec_spca_hull3d_a","Std PCA 3D hull area",1744,0.568073871670142,0.322707923674306,830.007057059253,1.35618593857123e-149,18.1477003525353,2450.75909687231,0.461215688969701,1.39676955361102e-92
"10m","spec_pca_mean","Raw PCA mean distance","spec_convex","Raw PCA convex hull",1744,0.707055298281018,0.499927194827259,1741.49276741465,1.94805584873176e-264,228.346035262114,-670.155650065444,0.64471624758883,1.72985182897501e-205
