quad_id,scale,elev_mean,tri5_mean,tri11_mean,tri21_mean,Name,sub_id
310_c,10m,230.37963373256915,1.7298075915667415,9.1176343323489,34.98858030786508,310,310_c
310_d,10m,228.86006806315146,1.327574744326081,6.117699392435472,22.673892780804035,310,310_d
409_a,10m,222.32751480217433,1.664062942341842,7.882623568727018,27.737968433346296,409,409_a
409_b,10m,224.01585480547223,1.688370460176355,7.736115067125273,27.2085512537236,409,409_b
409_c,10m,225.2359977656793,1.3744783379035996,6.710873384988945,25.74995980639461,409,409_c
409_d,10m,223.67836274123354,1.714252395833143,8.220612494556537,29.47911019519196,409,409_d
508_a,10m,217.85806717545174,1.5492915342306317,6.089436019599675,20.027928846539293,508,508_a
508_b,10m,219.26163103163594,1.4067454374999249,5.571421210919077,18.62035939834703,508,508_b
508_c,10m,219.6818222500164,1.3167434447742037,5.796460404760462,19.659301119279007,508,508_c
508_d,10m,218.57285651350938,1.0618249742141044,4.963203472928595,19.23722531719164,508,508_d
607_a,10m,213.47162314728695,1.186899216131302,5.675395001185032,21.070963441089933,607,607_a
607_b,10m,214.7180308560026,1.4138756375080215,6.220818614762002,21.972865098971813,607,607_b
