"quad_id","n_pixels","n_pairs","method","spectral_entropy","exact_entropy","boot_mean","boot_sd","boot_cv","boot_median","boot_min","boot_max"
"1403_b",6573,21598878,"bootstrap_mean",2.75349999628981,NA,2.75349999628981,0.0836155605813721,0.0303670095129978,2.74484277334455,2.71833882927615,3.43917731022578
"1403_c",6557,21493846,"bootstrap_mean",2.78136082854854,NA,2.78136082854854,0.163265403373718,0.058699828406988,2.74237021584944,2.71903274656808,3.44416118465818
"1403_d",6423,20624253,"bootstrap_mean",2.7008204269027,NA,2.7008204269027,0.081630377647833,0.0302242891955045,2.69086384019215,2.67562027186248,3.37078519924877
"1404_a",6452,20810926,"bootstrap_mean",2.85353614076046,NA,2.85353614076046,0.00900306104306743,0.00315505414999515,2.85508862067486,2.83185181274354,2.87467630101502
"1404_b",6752,22791376,"bootstrap_mean",2.86422174448648,NA,2.86422174448648,0.319533672418944,0.111560382164557,2.65629914058885,2.62336621913735,3.34888068528781
"1404_c",6354,20183481,"bootstrap_mean",2.87286947786787,NA,2.87286947786787,0.0809682763849485,0.0281837643543207,2.88179481716637,2.20957587971333,2.91170667477181
"1404_d",7674,29441301,"bootstrap_mean",2.95291142578759,NA,2.95291142578759,0.0119423704430839,0.0040442697802555,2.95285542172514,2.91657379879442,2.98293279614782
"1405_a",7894,31153671,"bootstrap_mean",2.9945165810405,NA,2.9945165810405,0.140751266800108,0.0470030013162264,3.02075357981029,2.32478814788902,3.05304123091763
"1405_b",7463,27844453,"bootstrap_mean",2.77092870170784,NA,2.77092870170784,0.0821973877628831,0.0296642016491516,2.76115481181891,2.74175327661647,3.44443979732927
"1405_c",6249,19521876,"bootstrap_mean",2.89281243806956,NA,2.89281243806956,0.00792197525123094,0.00273850290014566,2.89257869868691,2.87584557567173,2.90706623580046
"1405_d",7130,25414885,"bootstrap_mean",2.89307580063392,NA,2.89307580063392,0.00808578544120665,0.00279487507359293,2.89320259628657,2.87147285057095,2.91597488295109
"1406_a",6474,20953101,"bootstrap_mean",3.04014449301537,NA,3.04014449301537,0.00787888013676027,0.00259161370614513,3.04034649404429,3.02171256471809,3.0602178969303
