"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","spectral_group","biodiversity_group"
"10m","phy_rao","Phylogenetic Rao's Q","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0149590677707945,-0.0165172407220916,0.000223773708571224,0.389901049934992,0.532433186684175,-0.602719504914088,5426.37840002085,7.74547769133229e-41,0.0699402640477561,"standardized_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.00138424845722846,0.0208099692132598,1.91614379133935e-06,0.00333792888046485,0.953934628070211,0.021687623541691,5339.7511117322,6.26927165135311e-41,-0.0965057264577038,"standardized_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0735929835400136,-0.0339726653482606,0.00541592722632082,9.48592028217381,0.00210290631388478,-141.163266598504,5934.06717639318,1.72556037353325e-40,0.110976731931657,"standardized_pca","species"
"10m","sp_shannon","Shannon diversity","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0585217079803112,-0.0344921801314841,0.00342479030493281,5.98648717442855,0.0145141168111336,-425.787142132944,5776.77307389328,1.18168674040077e-40,0.08404927905158,"standardized_pca","species"
"10m","sp_simpson","Simpson diversity","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0505447377847437,-0.02836217426087,0.00255477051772849,4.46180914033048,0.0348027561723611,-764.384560300237,5770.89041476776,1.01566422916804e-40,0.0733681145976326,"standardized_pca","species"
"10m","sp_even","Species evenness","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,-0.0359315932163089,-0.0233187471946427,0.0012910793910623,2.25196776840564,0.1336258340238,-474.180019083214,5687.77700906681,7.42463599378819e-41,0.0401690102311819,"standardized_pca","species"
"10m","phy_faith","Faith's PD","spec_sa","Spectral angle entropy","identity","identity",1903,0.0984630163355496,0.109949011784291,0.00969496558589483,18.610558301049,1.68556074363551e-05,4.71118184298528e-05,2.82195929357693,4.79560955997181e-26,-0.0189932859645502,"non_pca","phylogenetic"
"10m","phy_rao","Phylogenetic Rao's Q","spec_sa","Spectral angle entropy","identity","identity",1903,0.114930106581778,0.110663370336387,0.0132089293988989,25.4462930760116,4.98181405718525e-07,0.000176967149048412,2.82001219374461,4.61932574967213e-26,-0.0082107500430571,"non_pca","phylogenetic"
"10m","phy_afaith","Abundance-weighted Faith's PD","spec_sa","Spectral angle entropy","identity","identity",1903,0.10617909668071,0.0829534479728978,0.0112740005719317,21.6762531779679,3.45093269139253e-06,6.34504654589336e-05,2.82581820996801,2.57299942195334e-26,-0.0359856612575908,"non_pca","phylogenetic"
"10m","sp_rich","Species richness","spec_sa","Spectral angle entropy","identity","identity",1903,-0.0233392839271353,0.013977691801868,0.000544722174231354,1.03608122963389,0.30886415282513,-0.00165832629353976,2.85036359936038,2.21060527331463e-25,0.0598589516454645,"non_pca","species"
"10m","sp_shannon","Shannon diversity","spec_sa","Spectral angle entropy","identity","identity",1903,-0.0274933393631774,0.0053549939214677,0.000755883709338845,1.43802190878767,0.230609156430814,-0.00742722290753874,2.85095017551173,2.39479790841918e-25,0.0406912608031103,"non_pca","species"
"10m","sp_simpson","Simpson diversity","spec_sa","Spectral angle entropy","identity","identity",1903,-0.0255669427138978,0.00016323194585523,0.000653668559735732,1.24343672755245,0.264950685641024,-0.0142915922448457,2.85137489218295,2.17026533449183e-25,0.0314075180176882,"non_pca","species"
