"scale","x_metric","x_label","y_metric","y_label","x_transform","y_transform","n","pearson_r","spearman_r","r_squared","f_statistic","f_p_value","slope","intercept","residual_shapiro_p","residual_abs_cor_fitted","metric_group"
"10m","spec_pca_mean","Raw PCA mean distance","spec_convex","Raw PCA convex hull","identity","identity",1744,0.707055298281018,0.64471624758883,0.499927194827259,1741.49276741465,1.94805584873176e-264,228.346035262114,-670.155650065444,3.00213155634144e-36,0.311396065247661,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_hull3d_v","Raw PCA 3D hull volume","identity","identity",1744,0.743063000263819,0.702389398140542,0.552142622361068,2147.63113476814,3.57135940627556e-306,2409.9832648621,-10590.918975175,5.0357587694391e-38,0.35543494257078,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_hull3d_a","Raw PCA 3D hull area","identity","identity",1744,0.735994731054112,0.681587987704724,0.541688244139414,2058.90621225501,1.92973233496498e-297,568.279102086543,-1689.42209985403,9.46532671531252e-37,0.325301840171094,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_alpha","Std PCA alpha hull","identity","identity",1744,0.642206131332417,0.580914495687935,0.41242871512095,1222.74665258461,2.11385786882049e-203,60.8260659338687,84.9838568618371,1.98198661122227e-21,0.226631627629684,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_rao","Std PCA Rao's Q","identity","identity",1744,0.649112754926468,0.572017805682165,0.42134736860823,1268.44168037421,3.42540012923792e-209,61.641167921877,-325.580310928569,1.06532750428151e-51,0.42444128792718,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_mean","Std PCA mean distance","identity","identity",1744,0.699832036471367,0.568108670774232,0.489764879271661,1672.1122969218,8.01815864689436e-257,0.819771393716843,0.606145481977129,8.16309415159347e-37,0.248770733085581,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_convex","Std PCA convex hull","identity","identity",1744,0.514946444673719,0.429427016443577,0.265169840882103,628.615819703327,1.04173493167733e-118,361.130114701389,-860.854896923944,5.5008208596668e-36,0.227727462798452,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_hull3d_v","Std PCA 3D hull volume","identity","identity",1744,0.513178379525784,0.433153302164559,0.26335204921271,622.765962001581,8.99163156762948e-118,7660.8320600594,-29134.1798071368,4.53556120334586e-41,0.268402225186798,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_spca_hull3d_a","Std PCA 3D hull area","identity","identity",1744,0.517355494539495,0.425811902557712,0.267656707730205,636.665877584426,5.41248410864832e-120,953.756683078682,-1909.17412936684,6.87921317123464e-35,0.226721632179393,"spectral"
"10m","spec_pca_mean","Raw PCA mean distance","spec_sa","Spectral angle entropy","identity","identity",1744,0.129179578542767,0.0804387294603463,0.016687363512487,29.5627109426672,6.17955958016916e-08,0.00858715808103749,2.77722187676981,2.52200866334555e-21,-0.0244662881687894,"spectral"
